Youtuber,subscribers,video views,category,uploads,Abbreviation,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
POPS Kids,16200000,9763592867.0,Music,3943,VN,30.0,256733000.0,64200.0,1000000.0,770200.0,12300000.0,2014.0,1,14.0,28.5,96462106.0,2.01,35332140.0,14.058324,108.277199
Thairath Online,16200000,14563841315.0,News & Politics,244899,TH,14.0,224756000.0,56200.0,899000.0,674300.0,10800000.0,2010.0,9,27.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
LEGO,16200000,20522339099.0,Entertainment,31889,SG,136.0,117209000.0,29300.0,468800.0,351600.0,5600000.0,2005.0,10,22.0,84.8,5703569.0,4.11,5703569.0,1.352083,103.819836
XO TEAM,16200000,14784781923.0,People & Blogs,189,US,1495.0,37911.0,9.0,152.0,114.0,1800.0,2020.0,9,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
AdMe,16200000,4488680903.0,Entertainment,10,ES,5766.0,4.0,0.0,0.02,0.01,0.19,2006.0,5,2.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
Dyland PROS,16100000,1517638132.0,Entertainment,2805,ID,41.0,9619000.0,2400.0,38500.0,28900.0,461700.0,2015.0,1,28.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
Canal IN,16100000,2687443643.0,People & Blogs,723,BR,137.0,13802000.0,3500.0,55200.0,41400.0,662500.0,2017.0,7,21.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Daily Dose Of Internet,16100000,6872702790.0,Entertainment,671,US,136.0,399807000.0,100000.0,1600000.0,1200000.0,19200000.0,2015.0,7,15.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
FitDance,16100000,7126210721.0,Music,41,FR,6335.0,780.0,0.2,3.0,2.0,37.0,2006.0,11,20.0,65.6,67059887.0,8.43,54123364.0,46.227638,2.213749
Disney Junior,16100000,15812009296.0,Entertainment,4045,US,136.0,267131000.0,66800.0,1100000.0,801400.0,12800000.0,2008.0,4,22.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
wifistudy,16000000,3018032423.0,Education,52144,IN,30.0,14287000.0,3600.0,57100.0,42900.0,685800.0,2014.0,7,26.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Antrax,16000000,3029872908.0,Gaming,687,MX,42.0,4698000.0,1200.0,18800.0,14100.0,225500.0,2015.0,5,25.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
Totoy kids - Espaï¿½ï,16000000,5997599089.0,Film & Animation,344,MX,31.0,112393000.0,28100.0,449600.0,337200.0,5400000.0,2017.0,9,7.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
DopeLyrics,15900000,9962188084.0,Music,2035,US,120.0,9915000.0,2500.0,39700.0,29700.0,475900.0,2016.0,6,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
jeffreestar,15900000,2609358468.0,Howto & Style,433,US,20.0,2006000.0,502.0,8000.0,6000.0,96300.0,2006.0,2,14.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Lyna,15900000,6534326412.0,Gaming,4906,AR,43.0,64085000.0,16000.0,256300.0,192300.0,3100000.0,2014.0,9,8.0,90.0,44938712.0,9.79,41339571.0,-38.416097,-63.616672
MK MUSIC,15900000,9198986881.0,Music,5105,BR,120.0,136388000.0,34100.0,545600.0,409200.0,6500000.0,2010.0,1,18.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Unspeakable,15900000,9052367553.0,Gaming,796,US,40.0,164895000.0,41200.0,659600.0,494700.0,7900000.0,2016.0,5,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Camilo,15900000,6802382479.0,Music,132,CO,120.0,59890000.0,15000.0,239600.0,179700.0,2900000.0,2010.0,7,29.0,55.3,50339443.0,9.71,40827302.0,4.570868,-74.297333
Dear Sir,15800000,1349288771.0,Education,633,IN,31.0,24056000.0,6000.0,96200.0,72200.0,1200000.0,2016.0,12,13.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Narendra Modi,15800000,3392918989.0,News & Politics,20679,IN,15.0,185969000.0,46500.0,743900.0,557900.0,8900000.0,2007.0,10,26.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Arif muhammad,15800000,4122634467.0,People & Blogs,542,ID,26.0,71870000.0,18000.0,287500.0,215600.0,3400000.0,2017.0,1,18.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
Rotten Tomatoes Trailers,15800000,13116313599.0,Film & Animation,10441,US,32.0,25738000.0,6400.0,103000.0,77200.0,1200000.0,2011.0,4,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
